Sektör;Yýl;Akdeniz-TR6;Batý Anadolu-TR5;Batý Karadeniz-TR8;Batý Marmara-TR2;Doðu Karadeniz-TR9;Doðu Marmara-TR4;Ege-TR3;Güneydoðu Anadolu-TRC;Kuzeydoðu Anadolu-TRA;Orta Anadolu-TR7;Ortadoðu Anadolu-TRB;Ýstanbul-TR1
Tarým;2004;9298881;4591878;5205533;4716433;1976887;4310032;9859575;4775572;2428078;4591649;2080296;530330
;2005;11215099;5188263;5558931;5353666;2902354;5036562;10606327;5486158;2479843;5059010;2861832;601554
;2006;11676697;5182262;5589989;5234680;3170722;5136583;12066662;5874781;2503794;4758091;2655052;566282
;2007;13120282;5458589;5723605;5539999;3089385;5148828;11355582;5919950;2570803;4912127;2831586;526371
;2008;14140774;6241509;7013214;6557107;3470984;5677180;13766366;5781897;2715556;5448256;3125763;512739
;2009;15235570;7326636;7315832;6491799;3140880;6256617;14605335;7213403;3181085;6438827;3485349;542941
;2010;20110129;7894729;9265324;8447135;4047598;7164080;18589050;10593865;4754507;8500897;4764237;572084
;2011;20866646;10037614;9984338;9062712;4189045;7880927;20181390;11722839;5162528;9702430;5404538;643161
;2012;19664541;10136065;10683876;9384013;4773186;8883052;23761822;12250453;5813458;9542040;6017528;782857
;2013;19675434;11673819;10310755;8915363;4714867;8627692;23067583;12755906;5545230;10060412;5628989;733029
;2014;21001580;12811071;10918775;11009349;4685062;10291341;27639668;13056866;5652236;11281421;5476709;900667
;2015;24920956;14835036;14013351;11413402;8649766;12098387;30074464;16208538;7234628;13525776;7499416;974199
;2016;25483504;14949039;13400650;12220097;6007201;11560616;31780144;16181721;7534130;12827587;8370609;989320
;2017;29018261;17742555;15201341;14814184;8088834;13726029;36300831;18882036;9110014;15072867;10160539;1076031
;2018;32611367;21359960;16534074;15758026;8324845;15224761;41872408;23730936;10902512;17998052;11018784;1330662
Sanayi;2004;10852606;14848332;3899803;7398942;2284773;22398630;21833668;6558518;828256;5171665;1864148;47066568
;2005;12791859;17744734;4771454;8673072;2841484;27092229;25130749;7444454;988071;6492589;2285855;54203103
;2006;15254890;21653804;5948139;10066299;3462207;33260515;30087665;8996276;1245102;7826886;2718072;65537887
;2007;17742691;25252805;6915114;11863120;4061396;38351543;32600292;10016435;1550622;8858391;3184093;72544754
;2008;20244817;28927070;8139713;13718447;4702550;43417267;35276060;11740748;1850255;9903178;3778896;79297665
;2009;18474398;27203995;7424723;13475560;4440451;39440986;32524905;10866614;1781601;8835764;3366275;72530170
;2010;23752641;32359877;9154137;15893175;5110045;46873130;38380828;13614139;2226298;10317104;4202415;83500083
;2011;30741373;41354647;11965355;20263208;6467365;62428798;50401077;18033683;2914445;13915393;5484298;111644057
;2012;34489885;45968679;13248573;22571838;7504493;68461920;57382089;20595566;3582676;15083767;7480657;123896019
;2013;40944474;54302136;16083264;26720554;8985233;81673304;68863919;25707863;4289736;17858704;9533158;146258262
;2014;47851437;61603253;18556210;30910941;10913784;95803723;78266357;30475263;4764236;19684084;11213396;166397951
;2015;53961543;69559340;20508062;35006491;12222772;109975925;87150929;34102077;5129590;22119258;11410132;191436847
;2016;61508950;77622968;23239285;39745501;13723791;123099231;98521111;37347325;5744064;25412585;11938642;217265088
;2017;75972897;94010559;28418941;49579237;17543371;155628510;124289910;46127266;7235600;32261094;13716774;263671772
;2018;91065120;112014621;34720888;62283841;21718240;196439601;156745095;55222789;8345852;37521665;15265058;306340662
Hizmetler;2004;31760198;40966838;12911474;10396223;7583381;25521090;36349747;13421771;4728796;9938086;7706067;103603732
;2005;36559237;48047928;14815554;12181192;8761964;30144372;42630458;15575819;5453538;11407099;8927635;120996325
;2006;43332859;56572194;17321290;14524094;10307993;36632402;50593393;18663883;6527222;13568571;10508875;141228209
;2007;48939809;66148529;19443842;16441593;11635481;41810589;57332057;21179397;7400412;15511699;12125931;163148997
;2008;55917572;74288370;22026726;18622542;13241748;48289178;65211324;24340036;8403534;17623680;13718417;188507839
