Yýl;Adana;Adýyaman;Afyonkarahisar;Aksaray;Amasya;Ankara;Antalya;Ardahan;Artvin;Aydýn;Aðrý;Balýkesir;Bartýn;Batman;Bayburt;Bilecik;Bingöl;Bitlis;Bolu;Burdur;Bursa;Denizli;Diyarbakýr;Düzce;Edirne;Elazýð;Erzincan;Erzurum;Eskiþehir;Gaziantep;Giresun;Gümüþhane;Hakkari;Hatay;Isparta;Iðdýr;Kahramanmaraþ;Karabük;Karaman;Kars;Kastamonu;Kayseri;Kilis;Kocaeli;Konya;Kütahya;Kýrklareli;Kýrýkkale;Kýrþehir;Malatya;Manisa;Mardin;Mersin;Muðla;Muþ;Nevþehir;Niðde;Ordu;Osmaniye;Rize;Sakarya;Samsun;Siirt;Sinop;Sivas;Tekirdað;Tokat;Trabzon;Tunceli;Türkiye;Uþak;Van;Yalova;Yozgat;Zonguldak;Çanakkale;Çankýrý;Çorum;Ýstanbul;Ýzmir;Þanlýurfa;Þýrnak
2001;14211;5219;7337;4233;3344;29871;11684;1463;1493;7164;4518;8527;2102;3273;801;1313;2223;2363;2153;2080;15814;7644;10188;2827;2795;4707;1869;7148;5208;10221;3824;1321;2026;11375;3403;1445;10065;1941;2123;2658;3258;10040;1502;9821;16882;4982;2322;3263;3123;6570;10159;5207;11476;5167;2863;3249;3778;7129;4440;2603;7218;11705;3181;2114;7221;4310;6467;6386;582;544322;2892;8994;1330;6560;6158;3053;2065;6423;78734;23429;11168;2524
2002;13709;4928;6372;3759;2922;26607;11570;1309;1339;6532;5088;7604;1731;3235;624;1277;2041;2599;2057;1990;15600;6995;10799;2423;2685;4331;1693;6857;4969;10773;3510;1114;1385;11106;3098;1642;8936;1763;2000;2956;3080;9386;1323;9110;15833;4560;2123;2748;2583;6272;9308;5375;11469;5125;2907;2764;3328;5890;4470;2381;6080;10126;2016;1895;5933;4366;5300;5805;606;510155;2777;6799;1381;5370;5208;2843;1936;5562;74987;23964;13144;2094
2003;15828;5722;7238;4090;3102;30116;12917;1398;1334;7348;4374;8603;2028;3615;713;1357;2404;2626;2189;2098;17426;8370;10721;2741;2764;4769;1692;7287;5420;12623;3538;1141;1401;11221;3305;1662;9876;1946;2315;3208;3327;10806;1306;10050;18189;5065;2303;3053;2790;6922;10512;5319;12915;5424;3528;3197;3767;6295;4829;2408;6922;11068;2388;2097;6506;4925;6124;5938;651;565468;3008;9777;1459;6169;5603;3116;2017;6064;83036;27067;14595;2407
2004;19395;6491;7523;4845;3103;31992;13168;1303;1336;7736;6914;8939;1790;4760;887;1472;2915;3561;2299;2120;18460;8511;15042;2861;3022;5190;1789;7810;5954;14194;3553;1240;1726;13169;3358;1629;10787;2030;2472;3144;3329;11726;1659;11396;19052;5078;2476;3259;3154;7554;11386;6268;12859;5579;5421;3199;3954;6305;4892;2381;7129;11645;2695;1990;6808;5234;6562;5962;596;615357;3177;9790;1398;7040;5845;3364;2101;6449;88895;29722;15923;3615
2005;16577;7152;7515;5360;3146;33210;14318;1338;1302;7995;8590;8857;1871;5142;827;1497;2707;4066;2200;2015;19098;8597;15494;3233;3012;5505;1969;8735;5901;17596;3580;1201;1651;13399;3590;2722;10695;2005;2244;3698;3187;12156;1579;11765;19140;4806;2428;3619;3289;7524;11461;7200;13423;5846;5855;3152;3985;7118;5199;2517;7893;12038;3419;2064;7135;5374;6479;6213;671;641241;3195;10004;1496;7023;6103;3397;2053;6742;95058;29303;17240;3482
2006;19645;6933;6946;4948;3061;34421;14261;1249;1351;8004;6569;8788;1874;4411;838;1406;2689;3721;2157;1983;18943;8433;13636;3081;2787;5568;1868;8238;5635;17000;3528;1240;1642;13851;3393;1923;11261;1977;2279;3665;3068;11848;1561;12084;19040;4764;2206;3454;3113;7394;11482;6903;14606;5982;5111;3205;4016;7126;4774;2673;7226;11813;2877;1977;6871;5404;5984;6304;603;636121;3182;9610;1543;7123;6494;3197;1995;6166;96629;30534;17589;3387
2007;17855;7023;7058;4796;3069;35081;15104;1140;1253;8347;6242;8750;2082;4035;858;1377;2530;3361;2150;1915;19563;8320;13709;2909;2715;5344;1776;7539;5871;17035;3408;1237;1632;14093;3269;1636;11659;1898;2362;3325;2946;11764;1444;12813;19550;4799;2207;3329;2824;7328;11435;6815;14283;5939;5041;3011;3785;6724;4948;2482;7473;11698;2568;1971;6642;5793;5871;6480;599;638311;3008;9989;1627;6683;6094;3338;1944;5998;100535;30960;18718;3529
2008;19617;6417;6877;4915;2765;36013;16401;1092;1305;8167;6370;8495;1813;4336;781;1416;2398;3080;2061;1961;20325;7917;14936;2791;2780;5473;1813;7205;5909;16948;3233;1194;1666;14210;3326;1872;11344;1784;2269;3443;2846;11329;1312;13046;18417;4625;2280;2843;2562;6743;10981;6652;15160;6609;4587;2976;3608;6128;4949;2413;7227;11109;2512;1915;6268;6094;5582;6609;673;641973;3009;9890;1685;6130;5960;3295;1616;5496;107963;31985;17117;3054
2009;17921;6042;6196;4338;2533;34098;15517;887;1138;7439;5978;8173;1654;4501;599;1239;2343;2790;1908;1661;18260;6854;14160;2574;2573;4841;1579;6687;5407;15741;3095;1059;1622;13203;2995;1833;9966;1692;2064;2831;2472;10291;1192;11779;17079;4175;2149;2688;2182;6169;9951;6486;13556;6049;3926;2599;3229;5547;4306;2236;6608;10083;2504;1635;5384;5417;5221;5784;638;591742;2747;9467;1501;5270;6192;3201;1463;4909;100406;29582;16666;3012
2010;16669;5951;6026;4043;2442;34445;15518;932;1146;7526;5488;8201;1602;3825;605;1241;2202;2855;1734;1670;19017;6937;12593;2542;2553;4613;1597;6619;5491;15540;2802;921;1711;12973;2838;1761;9658;1583;1899;2754;2448;10049;1276;11745;16937;4005;2119;2533;2008;5680;10302;6132;13540;6121;3672;2494;3005;5211;4228;2088;6429;10015;2212;1546;5040;5612;4775;5449;604;582715;2636;9172;1524;4831;5033;3112;1350;4766;104055;30369;15107;2962
