Ölçüm;Yýl;Adana;Adýyaman;Afyonkarahisar;Aksaray;Amasya;Ankara;Antalya;Ardahan;Artvin;Aydýn;Aðrý;Balýkesir;Bartýn;Batman;Bayburt;Bilecik;Bingöl;Bitlis;Bolu;Burdur;Bursa;Denizli;Diyarbakýr;Düzce;Edirne;Elazýð;Erzincan;Erzurum;Eskiþehir;Gaziantep;Giresun;Gümüþhane;Hakkari;Hatay;Isparta;Iðdýr;Kahramanmaraþ;Karabük;Karaman;Kars;Kastamonu;Kayseri;Kilis;Kocaeli;Konya;Kütahya;Kýrklareli;Kýrýkkale;Kýrþehir;Malatya;Manisa;Mardin;Mersin;Muðla;Muþ;Nevþehir;Niðde;Ordu;Osmaniye;Rize;Sakarya;Samsun;Siirt;Sinop;Sivas;Tekirdað;Tokat;Trabzon;Tunceli;Türkiye;Uþak;Van;Yalova;Yozgat;Zonguldak;Çanakkale;Çankýrý;Çorum;Ýstanbul;Ýzmir;Þanlýurfa;Þýrnak
Film Sayýsý;2000;586;200;33;44;114;3208;349;0;80;269;0;540;2;0;0;138;0;0;194;48;1307;333;263;0;178;177;0;136;575;501;320;0;35;679;95;65;166;48;62;47;43;213;0;825;244;234;192;2;0;356;562;35;241;260;0;100;826;126;42;188;24;423;75;34;223;290;110;45;0;24096;80;23;183;0;531;230;0;163;4754;1589;38;0
;2001;631;0;52;90;100;2388;884;0;100;313;0;604;0;36;0;148;0;0;110;54;862;173;354;180;124;137;0;83;447;508;294;0;7;397;34;0;129;42;60;0;40;218;0;774;304;142;225;208;90;413;557;52;564;233;1;80;208;68;123;203;40;601;34;0;183;291;143;106;0;25608;60;39;166;48;365;572;0;0;6961;1999;156;0
;2002;612;138;44;100;106;2809;624;0;40;206;24;299;32;15;0;0;0;0;85;73;538;206;302;100;155;142;0;100;234;731;255;0;48;444;75;0;168;16;49;40;40;227;0;435;324;104;124;140;0;229;0;197;286;100;42;60;160;164;193;197;277;558;20;0;188;110;66;121;0;22529;58;0;172;0;80;123;0;40;7090;1679;115;0
;2003;432;0;116;136;0;2510;581;0;46;121;0;394;32;8;400;48;0;0;80;78;755;119;229;51;28;40;0;92;270;372;322;0;1;318;79;0;73;820;44;32;12;140;0;510;169;103;178;150;0;135;309;129;286;430;0;55;177;100;167;197;48;395;0;24;207;318;201;281;0;21254;0;0;164;50;214;111;0;56;5862;1397;52;0
;2004;798;0;132;185;161;2607;892;0;88;174;0;569;72;16;52;48;0;0;54;174;878;783;315;53;141;131;35;175;239;1315;156;0;0;706;64;0;175;43;45;32;25;274;0;268;420;85;335;150;0;128;103;197;348;323;0;76;258;160;71;223;21;628;0;20;154;261;205;145;0;26398;149;125;37;40;188;272;11;345;7339;1621;85;0
;2005;490;18;147;252;177;3616;2157;0;52;138;0;418;50;25;0;82;50;0;80;234;1022;132;491;144;134;192;85;279;505;261;50;0;0;587;41;0;173;43;52;36;14;158;0;325;425;83;166;157;0;150;107;136;278;635;0;94;225;158;105;170;318;749;0;4;100;306;185;107;0;25076;149;129;63;48;85;213;14;341;4460;2069;137;0
;2006;503;132;144;162;127;2983;1123;0;57;126;0;602;60;19;0;80;50;97;76;140;947;336;677;55;108;238;71;140;417;370;79;0;2;295;42;0;169;128;73;36;91;151;0;439;235;84;321;15;104;145;137;36;265;507;0;94;228;160;80;173;305;774;0;17;100;336;172;239;9;25297;122;114;135;90;157;161;16;364;5961;2251;45;0
;2007;466;155;197;60;93;4060;1399;0;84;303;0;774;36;17;0;84;70;32;84;149;1200;314;598;160;356;211;59;298;378;532;173;0;32;820;102;0;224;233;93;32;164;269;0;486;259;73;351;0;120;120;282;0;465;878;0;86;110;308;75;191;279;489;0;6;75;370;147;649;52;28733;151;62;120;95;288;168;15;374;4850;2321;107;0
;2008;496;112;335;202;92;2765;1307;0;42;343;0;1087;90;292;0;157;68;8;54;220;1125;319;155;123;252;128;35;92;764;372;188;0;53;353;134;0;271;255;90;30;160;478;0;500;217;122;196;0;150;104;272;20;584;694;0;55;115;259;73;225;628;624;0;6;108;338;274;318;0;32003;161;79;174;118;237;232;10;292;9031;2598;142;0
;2009;650;110;287;142;114;3601;1226;0;30;497;0;429;75;142;0;138;63;45;142;218;1478;399;164;150;218;170;40;521;892;539;94;0;39;334;126;0;277;115;69;27;170;348;0;570;214;170;260;0;15;110;361;73;461;610;13;60;125;288;89;177;690;590;10;6;340;461;226;393;0;34947;139;144;106;150;787;144;5;304;9831;2569;377;0
