Ölçüm;Yýl;Adana;Adýyaman;Afyonkarahisar;Aksaray;Amasya;Ankara;Antalya;Ardahan;Artvin;Aydýn;Aðrý;Balýkesir;Bartýn;Batman;Bayburt;Bilecik;Bingöl;Bitlis;Bolu;Burdur;Bursa;Denizli;Diyarbakýr;Düzce;Edirne;Elazýð;Erzincan;Erzurum;Eskiþehir;Gaziantep;Giresun;Gümüþhane;Hakkari;Hatay;Isparta;Iðdýr;Kahramanmaraþ;Karabük;Karaman;Kars;Kastamonu;Kayseri;Kilis;Kocaeli;Konya;Kütahya;Kýrklareli;Kýrýkkale;Kýrþehir;Malatya;Manisa;Mardin;Mersin;Muðla;Muþ;Nevþehir;Niðde;Ordu;Osmaniye;Rize;Sakarya;Samsun;Siirt;Sinop;Sivas;Tekirdað;Tokat;Trabzon;Tunceli;Uþak;Van;Yalova;Yozgat;Zonguldak;Çanakkale;Çankýrý;Çorum;Ýstanbul;Ýzmir;Þanlýurfa;Þýrnak
Eser Sayýsý;2000;17;2;0;0;0;146;7;0;0;5;0;0;4;7;0;0;0;0;0;0;18;0;10;0;65;10;0;9;3;0;3;0;0;3;1;0;0;0;0;0;0;0;0;7;5;0;0;0;0;6;0;0;4;2;0;0;0;0;0;0;0;10;0;0;7;0;0;8;0;0;12;2;0;4;0;0;12;302;44;0;0
;2001;20;0;0;0;0;125;17;0;0;4;0;0;6;0;0;0;0;0;0;0;47;0;7;0;9;0;0;4;6;0;3;0;0;1;0;0;0;0;0;0;0;0;0;12;6;0;0;0;0;10;0;0;2;2;0;0;0;6;0;0;0;11;0;0;12;0;0;7;0;0;6;0;0;3;0;0;3;258;43;0;0
;2002;13;0;0;0;0;111;12;0;0;36;0;0;5;0;0;0;0;0;0;0;31;0;5;0;0;1;0;9;6;0;3;0;0;4;2;0;31;0;0;3;0;16;0;0;6;0;0;0;0;0;0;0;8;2;0;0;0;0;0;0;0;13;0;0;11;0;3;21;0;0;5;0;0;2;0;0;5;269;80;0;0
;2003;16;0;0;0;0;106;13;0;0;2;0;0;0;0;0;0;0;0;0;0;22;0;4;0;0;1;0;11;0;0;4;0;0;0;3;0;0;0;0;3;0;20;0;3;15;0;0;0;0;0;0;12;3;2;0;0;0;0;0;0;0;19;0;0;6;0;2;25;0;0;22;0;0;11;0;0;0;509;64;0;0
;2004;56;0;0;0;0;146;13;0;0;5;0;0;0;0;0;0;0;0;0;0;38;0;16;0;0;1;0;6;4;0;2;1;1;3;0;0;0;0;0;2;0;12;0;4;10;0;0;0;0;0;0;0;6;0;7;0;0;9;0;0;0;58;0;8;9;0;1;46;0;0;37;0;0;0;0;0;4;399;63;10;0
;2005;219;0;0;0;0;148;15;0;0;4;0;0;0;0;0;0;0;4;0;0;127;0;7;0;0;0;0;8;5;0;3;2;1;5;0;0;0;0;0;2;0;36;0;81;6;0;0;0;0;0;0;0;13;0;13;0;0;2;0;0;0;7;0;10;9;100;1;8;0;0;21;0;0;0;0;0;12;245;55;8;0
;2006;19;0;0;0;0;124;14;0;0;5;0;0;0;0;0;0;0;7;0;0;48;0;7;0;0;0;0;4;2;0;2;2;5;17;0;0;0;0;0;5;0;0;0;25;7;0;0;0;0;0;0;0;7;0;7;0;0;4;0;0;0;14;0;40;7;0;2;13;0;0;28;0;0;0;0;0;0;90;73;30;0
;2007;37;0;0;0;0;151;55;0;0;3;0;0;0;0;0;0;0;9;0;0;61;0;16;0;0;0;3;8;6;0;3;0;22;3;0;0;0;0;0;120;0;0;0;29;3;6;8;0;0;0;0;0;6;0;8;0;0;4;0;0;0;10;0;2;6;0;2;8;0;0;23;0;0;0;0;0;0;149;80;7;0
;2008;21;0;21;0;0;150;68;0;0;1;0;0;0;3;0;0;0;1;7;7;101;0;9;0;0;0;4;8;20;0;3;0;9;4;0;0;0;0;0;20;0;0;0;24;7;6;7;0;0;0;45;10;7;0;3;0;0;4;3;0;2;14;0;7;5;0;2;4;0;80;11;3;0;0;0;0;11;1269;131;10;0
;2009;35;0;5;0;0;111;17;0;0;0;0;0;0;3;0;0;0;5;10;0;114;0;23;0;0;5;5;10;44;0;4;0;6;5;0;0;3;0;0;4;0;2;0;26;14;6;9;0;0;0;49;0;9;0;0;0;0;4;3;0;2;38;0;14;6;0;0;6;0;20;30;0;0;0;0;0;38;1347;163;22;0
;2010;88;11;2;12;0;130;81;7;0;26;0;0;3;6;0;0;11;11;19;0;77;25;16;12;0;11;5;12;83;17;8;0;3;37;0;2;6;12;0;4;0;26;0;73;21;10;15;8;32;9;43;14;6;33;0;9;9;14;7;0;70;46;4;12;7;0;0;36;3;6;35;20;0;24;0;0;11;1927;419;8;0
;2011;68;13;3;9;0;155;78;7;1;56;1;0;32;11;0;0;28;14;21;4;46;37;13;19;0;56;5;15;76;105;11;2;0;54;4;4;27;15;0;7;10;55;1;72;44;13;12;4;18;111;47;25;24;29;0;8;16;11;7;27;52;89;4;48;21;0;0;24;8;11;6;23;9;75;0;6;71;1748;511;15;0
;2012;110;14;1;16;6;169;107;7;1;102;12;72;20;19;2;0;6;22;6;8;101;50;26;20;0;54;6;12;78;90;19;9;2;34;8;19;20;8;0;4;25;26;10;73;61;11;11;6;22;82;41;7;54;54;2;16;15;27;7;23;38;96;5;41;6;47;3;38;8;12;5;56;6;68;23;6;48;2602;574;12;12
;2013;263;13;4;1;6;351;112;3;2;26;0;45;9;11;0;0;7;18;9;8;94;10;36;4;11;24;0;23;63;18;35;0;3;17;11;9;10;12;1;3;3;27;5;71;77;4;12;7;9;43;34;7;69;34;7;2;2;16;0;10;30;94;3;21;32;2;3;62;5;5;25;11;4;31;18;3;15;3673;458;11;2
;2014;99;5;18;8;3;288;139;10;14;68;8;41;43;10;5;0;17;40;23;10;154;74;23;19;45;58;4;18;89;50;29;5;3;42;16;4;32;16;5;10;7;39;17;107;91;20;40;20;12;60;138;6;77;74;15;10;16;74;19;26;60;75;20;15;25;36;4;65;10;33;17;6;9;69;22;5;27;3077;612;34;8
;2015;76;1;15;9;6;229;94;6;15;82;12;40;26;11;4;0;16;27;28;4;158;43;23;27;30;46;1;14;84;38;34;2;6;90;5;4;35;31;3;9;17;64;13;178;105;8;38;5;18;89;49;11;47;61;3;8;3;55;9;19;94;53;22;18;21;76;7;115;5;25;32;37;7;90;17;18;38;3438;502;20;6
